Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J0154.3-0236,28.5763,-2.6111,157.14821,-61.234547,6.7955675,2.0778558E-10,3.8160322E-11,2.3505E-12,4.2089232E-13,PowerLaw,2.1686378,0.14245154,1720.8701,2.1746058,0.13818961,-0.010212232,0.054240134,0,bcu,TXS 0151-028,0.988085,0.90998375,at20g,28.5949950292,-2.58158899444,1.9E-07,RFC J0154-0234,Gaia DR2: 2504918561609830656,17.991,0.082314,ISP,707945800000000.0,9.771967E-13,5.1684566,0.0,10.0,10.0
4FGL J0156.5+3914,29.1325,39.2493,136.45793,-21.90672,17.51325,5.310767E-10,4.9110035E-11,7.1480864E-12,5.354337E-13,PowerLaw,2.4185915,0.062669806,836.00836,2.4040713,0.06924832,0.024493977,0.038869016,0,bcu,MG4 J015630+3913,0.9977636,0.94929886,crates,29.1308755667,39.2419232306,1.1E-07,RFC J0156+3914,Gaia DR2: 343334153725362176,18.3252,-inf,LSP,11481536000000.0,1.1058265E-12,57.493126,0.5900343,0.17885274,30.7446
4FGL J0207.4-3855,31.8557,-38.9252,254.39658,-70.24919,8.858854,2.2330654E-10,3.5239464E-11,2.8652525E-12,3.8360642E-13,PowerLaw,2.3687332,0.10652375,932.2086,2.1143482,0.24668397,0.36245343,0.2221473,0,bcu,PKS 0205-391,0.9886415,0.9263989,rfc,31.8150393333,-38.950854475,2E-07,RFC J0207-3857,Gaia DR2: 4964391206676167040,18.137,0.254,LSP,52480746000000.0,3.9313977E-12,4.730272,0.0,10.0,10.0
4FGL J0215.9+0300,33.9917,3.0044,160.30334,-53.619614,10.344792,2.8187758E-10,4.35474E-11,3.1706712E-12,4.86191E-13,PowerLaw,1.9731858,0.11700408,3199.8157,1.630748,0.272209,0.26153642,0.17197952,0,bcu,PMN J0215+0300,0.9970165,0.90791,rfc,34.0019150417,3.00330732222,3E-07,RFC J0216+0300,Gaia DR2: 2514754135501510912,18.4054,-inf,HSP,1000000000000000.0,7.2166394E-13,20.595612,0.56200814,0.23524468,30.6182
4FGL J0223.5+3912,35.8899,39.2153,141.78235,-20.260767,9.9056,2.8790217E-10,4.179114E-11,3.213818E-12,4.7310804E-13,PowerLaw,2.1172771,0.11329968,2480.1208,2.0064583,0.17184009,0.1394439,0.09988006,0,bcu,B3 0220+390,0.9979409,0.9011579,crates,35.86831315,39.2142461,6E-07,RFC J0223+3912,Gaia DR2: 331852056875248640,18.2708,-inf,LSP,36307804000000.0,1.1266292E-12,12.299065,0.32665858,0.23508286,20.3468
4FGL J0226.6-0553,36.6618,-5.8849,174.04782,-58.95355,9.15336,2.6230793E-10,4.0216608E-11,3.0479412E-12,4.4049126E-13,PowerLaw,2.230605,0.11043671,1388.9047,2.2216952,0.12062746,0.010087541,0.055146426,0,bcu,PMN J0226-0552,0.9973076,0.9168298,crates,36.6667864458,-5.87736659167,4.6E-07,RFC J0226-0552,Gaia DR2: 2488663347345131264,14.2271,-inf,,0.0,0.0,18.491182,0.39431202,0.20099288,118.915
4FGL J0226.7+2312,36.6815,23.2059,149.75749,-34.654095,7.6945205,2.571383E-10,5.0297752E-11,2.875892E-12,5.465817E-13,PowerLaw,1.9963889,0.14074363,3745.9678,1.999347,0.14250566,0.002596413,0.06621769,16,bcu,GB6 J0226+2311,0.8709416,0.0,rfc,36.6302885875,23.1903367667,2.5135316E-07,RFC J0226+2311,,18.0392,-inf,ISP,102329300000000.0,5.7219626E-13,4.3784494,0.0,10.0,68.7764
4FGL J0232.5-1118,38.1333,-11.3166,184.18184,-61.477207,5.103139,1.0985661E-10,3.1316432E-11,1.3673958E-12,3.8646416E-13,PowerLaw,1.7914854,0.17693335,4825.9395,1.5843519,0.32621664,0.17353259,0.17225479,0,bcu,PMN J0232-1120,0.9840203,0.9033422,at20g,38.1745961,-11.3389507167,1.9E-06,RFC J0232-1120,Gaia DR2: 5171740721510354432,18.4892,0.2087,HSP,5559043000000000.0,5.65231E-13,11.135642,0.4851629,0.5002725,96.5638
4FGL J0250.2-8224,42.5732,-82.4037,298.41718,-33.653038,11.081469,2.9052727E-10,4.0429382E-11,5.499524E-12,5.8160134E-13,PowerLaw,2.6855602,0.08815126,600.8936,2.6733344,0.09957948,0.01532085,0.054184087,0,bcu,PMN J0251-8226,0.9941228,0.9047533,rfc,42.7884806875,-82.441453425,2.9E-07,RFC J0251-8226,Gaia DR2: 4618791474883736448,18.404,-inf,LSP,17378008000000.0,1.0574869E-12,55.904877,0.73451567,0.2263803,10.0
4FGL J0250.6+8435,42.6642,84.5985,125.83301,22.411898,14.776139,4.4732026E-10,4.2447993E-11,4.97574E-12,4.7179854E-13,PowerLaw,2.0913415,0.070219025,2268.676,1.92596,0.1325858,0.16004583,0.07844129,0,bcu,WN B0239.6+8423,0.9962873,0.93163437,rfc,42.4513874667,84.5991752917,2.9E-07,RFC J0249+8435,Gaia DR2: 574280077148958336,18.2984,-inf,ISP,251188650000000.0,1.9413865E-12,18.575155,0.32387662,0.14486209,27.7278
4FGL J0301.0-1652,45.2714,-16.8688,200.81451,-58.35679,4.47728,1.5069283E-10,3.652252E-11,1.8501585E-12,4.619209E-13,PowerLaw,2.3157818,0.18486127,1545.5072,2.3062317,0.20845763,0.01652819,0.09211858,16,bcu,PMN J0301-1652,0.98058796,0.9206334,at20g,45.3192611083,-16.8791948694,1.5E-07,RFC J0301-1652,Gaia DR2: 5153060465631001600,17.5509,-inf,LSP,39810720000000.0,4.440021E-12,26.159925,1.0086083,0.4000897,12.6831
4FGL J0307.8-0419,46.9523,-4.3266,183.96553,-50.29342,4.5289063,1.2613625E-10,3.5235124E-11,1.4109052E-12,4.0905192E-13,PowerLaw,2.1277235,0.20650554,2968.2898,2.1372309,0.21117574,-0.015340513,0.0960418,0,bcu,LEDA 095522,0.9947345,0.83545095,rfc,46.9354854083,-4.31923459167,9.2E-07,RFC J0307-0419,Gaia DR2: 5182983468422395008,17.1046,0.02889,,0.0,0.0,11.428855,0.29084098,0.71786946,32.776
4FGL J0333.8+4007,53.4658,40.1196,153.63254,-12.877236,7.646128,2.7620065E-10,4.668868E-11,3.0831201E-12,5.28215E-13,PowerLaw,2.11714,0.11824689,2543.238,1.9889888,0.19780028,0.16045225,0.11080429,0,bcu,B3 0330+399,0.9960312,0.87005717,wise,53.4450770375,40.1107207278,2.7E-06,RFC J0333+4006,Gaia DR2: 236577965578720000,18.3855,-inf,,0.0,0.0,5.977281,0.0,10.0,32.5767
4FGL J0357.6-4625,59.4135,-46.4173,253.5001,-48.784058,8.508032,1.9254488E-10,3.1451786E-11,2.3429056E-12,3.5251928E-13,PowerLaw,2.3037946,0.11875956,1212.9423,2.2532618,0.15548098,0.058703445,0.08300009,0,bcu,PKS 0355-465,0.9957609,0.92952704,rfc,59.3696529208,-46.42867695,6.9E-07,RFC J0357-4625,Gaia DR2: 4832180229132104448,17.5265,-inf,LSP,4518559400000.0,8.401813E-13,11.584928,0.4352021,0.23514368,11.5434
4FGL J0429.9-3101,67.4806,-31.0178,231.32568,-42.576515,13.809781,3.4478193E-10,4.005531E-11,3.9163573E-12,4.767788E-13,PowerLaw,1.9435476,0.08263397,2534.9849,1.8090417,0.14247788,0.15312697,0.081114344,0,bcu,MRSS 421-156568,0.99227184,0.0,rfc,67.4955792333,-30.993128325,8.8E-07,RFC J0429-3059,Gaia DR2: 4872780761140626944,17.6348,-inf,ISP,691831000000000.0,1.200237E-12,12.510802,0.27558145,0.1714061,17.318
4FGL J0509.9-6417,77.4876,-64.2891,274.27008,-35.189407,13.55405,3.3576056E-10,4.00725E-11,3.8187682E-12,4.5393154E-13,PowerLaw,1.9401927,0.09287486,3363.943,1.9924992,0.08314837,-0.043531995,0.031793267,0,bcu,RBS 0625,0.99913657,0.97694767,rfc,77.4887124667,-64.2949334528,1.5E-05,RFC J0509-6417,Gaia DR2: 4664129733776267392,18.3509,-inf,HSP,1.1481536E+17,4.159834E-12,23.023058,0.502385,0.19520764,138.973
4FGL J0525.6-2008,81.4178,-20.1449,222.67323,-27.546915,6.5977864,1.9786006E-10,3.7053173E-11,2.2221628E-12,4.072665E-13,PowerLaw,2.144771,0.13109761,1738.4526,1.8108735,0.34980133,0.3072966,0.21870668,0,bcu,PMN J0525-2010,0.9729552,0.8908675,at20g,81.3668266833,-20.1801058139,4.2E-07,RFC J0525-2010,Gaia DR2: 2968374876069073152,17.4871,-inf,LSP,33496544000000.0,2.146288E-11,12.423139,0.4877155,0.3235534,10.0
4FGL J0601.3+5444,90.3303,54.7344,158.6521,15.119353,5.979083,1.6163795E-10,3.6127667E-11,1.8026704E-12,3.940357E-13,PowerLaw,2.0117147,0.15211965,3744.9954,1.6857779,0.36247137,0.24999264,0.19689289,0,bcu,GB6 J0601+5443,0.9892606,0.832083,crates,90.2570989083,54.7267452639,1.5E-07,RFC J0601+5443,Gaia DR2: 996829684263277952,17.9286,-inf,,0.0,0.0,6.357324,0.0,10.0,28.9398
4FGL J0602.0+5315,90.5148,53.2657,160.06737,14.574019,22.620928,7.837604E-10,5.7382977E-11,8.928502E-12,6.627987E-13,PowerLaw,1.9360819,0.052405328,3118.418,1.8772103,0.072581,0.06352382,0.035463605,0,bcu,GB6 J0601+5315,0.99984086,0.9893919,whsp2,90.501855025,53.2666798722,3.1E-07,RFC J0602+5316,Gaia DR2: 972618369500659456,16.9656,0.052,,0.0,0.0,52.426285,0.5902413,0.17927894,64.8446
4FGL J0604.9-0000,91.241,-0.0038,207.57933,-10.327148,10.637111,5.531387E-10,7.5068736E-11,6.1466045E-12,8.407858E-13,PowerLaw,2.077517,0.09493233,3253.897,1.9924834,0.15407762,0.11792205,0.07775716,4,bcu,GB6 J0604+0000,0.99456125,0.84689206,rfc,91.2434081,0.0120407444444,4.9E-07,RFC J0604+0000,Gaia DR2: 3122452532843366144,15.7756,-inf,,0.0,0.0,5.2365108,0.0,10.0,27.2285
4FGL J0606.5-4730,91.6416,-47.5038,254.91489,-26.947205,10.915895,3.2277883E-10,4.3369305E-11,3.6030606E-12,4.8987024E-13,PowerLaw,2.006362,0.095150396,2471.7761,1.9219135,0.14124838,0.1506554,0.08539967,0,bcu,RX J060635.9-473001,0.9987615,0.97375095,rfc,91.6488892208,-47.4985676083,6.6E-07,RFC J0606-4729,Gaia DR2: 5554574624305070976,16.6128,0.029771,HSP,1995262400000000.0,2.7745018E-11,9.550503,0.21325558,0.24862933,19.5811
4FGL J0611.1+4325,92.7984,43.4261,169.81161,11.568139,13.513644,4.308186E-10,5.2348882E-11,5.063096E-12,6.049719E-13,PowerLaw,1.8731525,0.08178484,4127.752,1.765407,0.12079437,0.09819684,0.0598528,0,bcu,7C 0607+4324,0.99691653,0.83353275,rfc,92.7854442125,43.4084408444,4.4E-07,RFC J0611+4324,Gaia DR2: 961143793139189504,18.357,-inf,,0.0,0.0,7.0297375,0.0,10.0,40.5273
